Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Weather_Condition,day_of_week_acc,Nautical_Twilight,season_acc,cible,year_acc
28.4,-82.2,0.0,93.0,49.0,10.0,0.14509260250954292,Fair,6,Day,spring,1,2020
39.2,-76.6,0.0,58.0,51.0,10.0,0.2012560380538422,Cloudy,1,Day,spring,0,2020
34.0,-118.4,0.0,63.0,58.0,10.0,0.11216944406164672,Fair,4,Day,winter,0,2020
41.6,-72.0,3.0,30.0,61.0,10.0,0.16782070524190654,Cloudy,1,Day,winter,1,2020
32.6,-117.1,0.0,,,10.0,0.14172863575095576,Partly Cloudy,6,Day,spring,0,2020
39.1,-77.0,2.0,61.0,89.0,10.0,0.07512959899967943,Cloudy,0,Day,autumn,0,2020
34.9,-82.8,0.0,48.0,100.0,3.0,0.1934317088257318,Fair,2,Night,autumn,0,2020
38.8,-104.9,2.0,54.0,38.0,10.0,0.19551397248314875,Fair,0,Day,spring,1,2020
42.3,-88.1,0.0,26.0,66.0,10.0,0.16782070524190654,Cloudy,2,Night,winter,0,2020
33.9,-117.4,0.0,43.0,65.0,10.0,0.1260522790801609,Fair,5,Night,winter,0,2020
28.7,-81.5,0.0,84.0,76.0,10.0,0.20179659383577014,Fair,5,Day,autumn,0,2020
38.6,-121.4,0.0,90.0,20.0,10.0,0.1934317088257318,Fair,5,Day,spring,0,2020
33.9,-118.2,0.0,53.0,93.0,3.0,0.11539246896503184,Other,4,Night,spring,0,2020
25.8,-80.3,0.0,71.0,70.0,10.0,0.1837178381607416,Mostly Cloudy,1,Night,winter,0,2020
43.9,-93.3,2.0,-6.0,84.0,10.0,0.07512959899967943,Fair,4,Night,winter,0,2020
45.0,-93.1,0.0,35.0,76.0,10.0,0.2012560380538422,Cloudy,6,Night,winter,0,2020
28.3,-82.2,0.0,48.0,71.0,10.0,0.16782070524190654,Fair,4,Night,winter,0,2020
43.8,-117.9,0.0,67.0,33.0,10.0,0.11216944406164672,Fair,5,Day,spring,0,2020
40.8,-74.1,1.0,70.0,90.0,10.0,0.19611848126126613,Mostly Cloudy,5,Night,autumn,0,2020
38.6,-121.5,0.0,65.0,68.0,10.0,0.19611848126126613,Fair,0,Night,summer,0,2020
39.4,-121.7,0.0,42.0,85.0,9.0,0.07512959899967943,Fair,4,Night,autumn,0,2020
44.5,-121.2,0.0,76.0,23.0,10.0,0.1726279818900893,Fair,2,Day,spring,0,2020
43.0,-73.9,1.0,57.0,94.0,10.0,0.07512959899967943,Cloudy,3,Night,autumn,0,2020
37.0,-122.0,0.0,56.0,100.0,0.0,0.07512959899967943,Fog,4,Night,autumn,0,2020
32.4,-111.1,0.0,102.0,4.0,10.0,0.17427911846260802,Fair,2,Day,spring,0,2020
41.2,-80.2,1.0,27.0,89.0,10.0,0.14509260250954292,Fair,5,Night,winter,0,2020
38.8,-120.0,0.0,34.0,89.0,1.0,0.19946047525166746,Other,5,Night,winter,0,2020
35.2,-80.9,1.0,58.0,84.0,10.0,0.2012560380538422,Fair,2,Night,autumn,0,2020
45.8,-111.2,0.0,42.0,49.0,10.0,0.1726279818900893,Cloudy,2,Night,winter,0,2020
39.1,-121.5,0.0,41.0,86.0,10.0,0.1837178381607416,Fair,4,Night,winter,0,2020
34.3,-92.1,0.0,38.0,68.0,10.0,0.1978658207971211,Fair,0,Day,autumn,1,2020
41.4,-88.8,1.0,33.0,57.0,10.0,0.17427911846260802,Fair,3,Day,winter,1,2020
45.5,-122.7,0.0,49.0,77.0,10.0,0.19611848126126613,Fair,1,Night,autumn,0,2020
42.5,-79.4,4.0,33.0,89.0,1.0,0.11216944406164672,Other,1,Night,winter,0,2020
36.1,-87.0,0.0,44.0,89.0,9.0,0.07512959899967943,Fair,4,Night,autumn,0,2020
30.3,-81.7,0.0,61.0,81.0,10.0,0.11539246896503184,Fair,1,Night,autumn,0,2020
45.5,-122.4,0.0,64.0,56.0,10.0,0.19946047525166746,Mostly Cloudy,1,Day,spring,1,2020
40.8,-73.9,1.0,60.0,53.0,10.0,0.19946047525166746,Fair,2,Night,autumn,0,2020
25.8,-80.2,0.0,81.0,85.0,10.0,0.07512959899967943,Mostly Cloudy,5,Night,autumn,0,2020
30.4,-91.1,0.0,57.0,81.0,10.0,0.1934317088257318,Fair,2,Night,autumn,0,2020
42.3,-85.4,2.0,48.0,63.0,10.0,0.14509260250954292,Fair,2,Night,autumn,1,2020
35.8,-78.6,0.0,36.0,70.0,10.0,0.07512959899967943,Fair,2,Night,winter,0,2020
43.0,-88.0,0.0,39.0,70.0,10.0,0.1260522790801609,Mostly Cloudy,2,Day,spring,1,2020
33.7,-117.8,0.0,55.0,72.0,8.0,0.07512959899967943,Fair,3,Night,winter,0,2020
35.1,-80.9,0.0,81.0,69.0,10.0,0.1934317088257318,Partly Cloudy,3,Day,summer,1,2020
38.3,-77.5,2.0,57.0,100.0,7.0,0.16782070524190654,Cloudy,1,Night,autumn,0,2020
37.5,-113.2,0.0,29.0,82.0,10.0,0.11539246896503184,Cloudy,0,Day,spring,0,2020
43.2,-123.4,0.0,72.0,40.0,10.0,0.1978658207971211,Fair,3,Day,summer,0,2020
